turn_count,strategy,runs,accuracy,avg_token_reduction
6,hybrid,24,54.166666666666664,0.11744306713285431
6,summarization,24,37.5,0.1539595899647149
6,sliding_window,24,12.5,0.32181293537155514
7,hybrid,21,38.095238095238095,0.1787825773066183
7,summarization,21,33.33333333333333,0.18726429874467915
7,sliding_window,21,14.285714285714285,0.4359984145766071
8,hybrid,21,80.95238095238095,0.10033578685702636
8,summarization,21,76.19047619047619,0.25499817904149025
8,sliding_window,21,0.0,0.4798577504920213
9,hybrid,21,33.33333333333333,0.16747841133345137
9,summarization,21,28.57142857142857,0.33175491301263205
9,sliding_window,21,0.0,0.5423094593151678
10,hybrid,21,85.71428571428571,0.13084201148663024
10,summarization,21,61.904761904761905,0.37291537452697154
10,sliding_window,21,0.0,0.5876995957468077
